item_id,product_name,category,stock_level,reorder_point,warehouse_location,unit_price_inr,supplier_name,gst_percentage,status
IND001,Ceramic Tiles,Home,95,70,Mumbai,4234,Murthy PLC,18,Out of Stock
IND002,Water Tank,Home,23,22,Hyderabad,2791,Sampath-Naik,18,Available
IND003,Electrical Wire,Electrical,123,81,Mumbai,2645,Raval Ltd,28,Out of Stock
IND004,Paint Emulsion,Home,371,66,Hyderabad,2436,Tak-Bhandari,18,Low Stock
IND005,LED Bulb,Electrical,416,77,Coimbatore,2092,Karnik Group,18,Available
IND006,Water Tank,Home,452,76,Bangalore,4129,Sant PLC,12,Out of Stock
IND007,Paint Emulsion,Home,130,47,Bangalore,1888,"Rattan, Shan and Devan",18,Low Stock
IND008,Steel TMT Bar,Construction,384,25,Coimbatore,2859,"Pandit, Batta and Soman",5,Low Stock
IND009,Cement OPC 53,Construction,242,33,Delhi,3069,"Vig, Saxena and Chatterjee",5,Available
IND010,Paint Emulsion,Home,225,71,Mumbai,1064,Soni Group,12,Out of Stock
IND011,Red Bricks,Construction,114,76,Chennai,4123,Prabhakar Ltd,5,Available
IND012,Paint Emulsion,Home,165,64,Chennai,1474,"Sami, Bandi and Nazareth",18,Available
IND013,Ceramic Tiles,Home,268,65,Delhi,1138,Raju and Sons,5,Out of Stock
IND014,Water Tank,Home,390,63,Coimbatore,4579,Prabhu-Wagle,18,Out of Stock
IND015,Cement OPC 53,Construction,294,25,Bangalore,807,"Deshmukh, Peri and Mander",18,Available
IND016,LED Bulb,Electrical,145,96,Coimbatore,3738,Ramanathan Ltd,5,Out of Stock
IND017,Granite Slab,Construction,251,33,Chennai,3469,Mani LLC,18,Low Stock
IND018,PVC Pipes,Plumbing,195,31,Coimbatore,1870,"Bava, Gill and Memon",12,Available
IND019,Paint Emulsion,Home,414,87,Chennai,3699,"Bhavsar, Patla and Buch",18,Available
IND020,LED Bulb,Electrical,108,97,Delhi,3060,Hayre-Pradhan,18,Available
IND021,Cement OPC 53,Construction,369,65,Bangalore,1134,"Shukla, Aurora and Bava",5,Out of Stock
IND022,LED Bulb,Electrical,477,49,Chennai,1540,Roy-Bal,5,Available
IND023,Steel TMT Bar,Construction,495,30,Coimbatore,876,Ranganathan-Khalsa,12,Available
IND024,Water Tank,Home,241,82,Coimbatore,2410,Seshadri-Keer,28,Low Stock
IND025,Steel TMT Bar,Construction,195,96,Chennai,3188,"Suri, Doctor and Chaudhari",18,Out of Stock
IND026,Granite Slab,Construction,283,79,Bangalore,1850,Vyas-Thakkar,28,Available
